,Размер
0,10
1,16
2,14
3,12
4,12
5,12
6,12
7,10
8,10
9,10
10,8
11,8
12,6
13,6
14,6
15,28
16,25
17,25
18,22
19,20
20,18
21,16
22,14
23,12
24,18
25,10
26,6
27,6
28,6
29,18
30,20
31,22
32,8
33,22
34,22
35,20
36,12
37,12
38,14
39,16
40,18
41,20
42,12
43,22
44,16
45,6
46,6
47,8
48,8
49,10
50,25
51,16
52,10
53,10
54,18
55,16
56,14
57,12
58,10
59,10
60,10
61,8
62,6
63,6
64,6
65,6
66,8
67,8
68,8
69,10
70,16
71,12
72,16
73,14
74,14
75,12
76,12
77,12
78,12
79,12
80,12
81,12
82,10
83,10
84,10
85,10
86,10
87,10
88,8
89,16
90,20
91,6
92,8
93,10
94,6
95,16
96,6
97,6
98,6
99,8
100,8
101,8
102,8
103,6
104,18
105,18
106,20
107,18
108,20
109,22
110,25
111,6
112,6
113,16
114,6
115,8
116,8
117,10
118,10
119,10
120,12
121,8
122,14
123,14
124,10
125,20
126,22
127,22
128,22
129,25
130,8
131,12
132,10
133,12
134,16
135,6
136,6
137,8
138,8
139,12
140,8
141,12
142,14
143,25
144,20
145,16
146,12
147,10
148,8
149,8
150,8
151,6
152,20
153,16
154,14
155,12
156,10
157,20
158,16
159,14
160,10
161,10
162,12
163,12
164,14
165,16
166,22
167,18
168,6
169,8
170,12
171,16
172,10
173,12
174,20
175,20
176,18
177,16
178,10
179,12
180,12
181,16
182,18
183,20
184,10
185,6
186,10
187,12
188,14
189,16
190,20
191,22
192,8
193,8
194,8
195,6
196,14
197,12
198,10
199,10
200,10
201,10
202,8
203,8
204,6
205,6
206,6
207,8
208,10
209,6
210,8
211,12
212,8
213,6
214,25
215,20
216,18
217,16
218,14
219,12
220,12
221,10
222,10
223,8
224,8
225,6
226,6
227,6
228,12
229,12
230,14
231,16
232,18
233,20
234,22
235,25
236,28
237,25
238,36
239,16
240,12
241,10
242,8
243,6
244,16
245,20
246,25
247,22
248,22
249,10
250,8
